Arryn;Jon Arryn;;
Baratheon;Edric Storm;;
Baratheon;Joffery Baratheon;;
Baratheon;Myrcella Baratheon;;
Baratheon;Renly Baratheon;;
Baratheon;Robert Baratheon;Usuper,WhoremongerKing;
Baratheon;Shireen Baratheon;;
Baratheon;Stannis Barathen;;
Baratheon;Tommen Baratheon;
Bolton;Ramsay Snow;BastardofBolton;
Bolton;Roose Bolton;LeechLord;
Brotherhood;Beric Dondarrion;LightningLord;
Brotherhood;Gendry;TheBull;
Brotherhood;Thoros;RedWizard;
Clegane;Gregor Clegane;MadDog,TheMountian;
Clegane;Sandor Clegane;Hound;
Dothraki;Drogo;;
Dothraki;Irri;;
Dothraki;Jhiqui;;
Dothraki;Jhogo;;
Dothraki;Rakharo;;
Florent;Selyse Florent;;
Frey;Walder Frey;;
Greyjoy;Aeron Greyjoy;Damphair;
Greyjoy;Asha Greyjoy;TheKrakensDaughter;
Greyjoy;Balon Greyjoy;TheKrakenKing;
Greyjoy;Euron Greyjoy;CrowsEye;
Greyjoy;Theon Greyjoy;Reek;
Lannister;Cersei Lannister;;
Lannister;Jamie Lannister;Kingslayer;
Lannister;Kevan Lannister;;
Lannister;Lancel Lannister;;
Lannister;Tyrion Lannister;Imp;
Lannister;Tywin Lannister;;
Marsh;Bowen Marsh;;
Martell;Doran Martell;;
Martell;Dorea Sand;;
Martell;Elia Martell;;
Martell;Ellaria Sand;;
Martell; Nymeria Sand;;
Martell; Obara Sand;;
Martell; Obella Sand;;
Martell; Oberyn Martell; RedViper;
Martell; Quentyn Martell; Frog,PrinceFrog;
Martell;Sarella Sand;Alleras;
Mormont;Jorah Mormont;;
Night's Watch;Alliser Thorne;;
Night's Watch;Cotter Pyke;;
Night's Watch;Jon Snow;LordSnow,LordCrow;
Night's Watch;Mormont;OldBear;
Night's Watch;Samwell Tarly;Sam,SerPiggy,LordofHam;
Other;Bron;;
Other;Daario Naharis;;
Other;Grey Worm;;
Other;Hizdahr zo Loraq;;
Other;Illyrio Mopatis;Cheesemonger,LordofCheese;;
Other;Melisandre;RedWoman,redwoman,redpriestess,redlady;
Other;Varys;Spider,Rugen;
Other;Xaro Xhoan Daxos;Xaro,Daxos;
Payne;Podrick Payne;Pod;
Reed;Howland Reed;;
Reed;Jojen Reed;;
Reed;Meera Reed;;
Selmy;Barristan Selmy;Arstan;
Stark;Arya Stark;Lumpyface,Lumpyhead,Weasel,Salty,Mercy;
Stark;Benjen Stark;Ben;
Stark;Brandon Stark;Bran,PrinceofWinterfell;
Stark;Catelyn Tully;Cat,Stoneheart;
Stark;Eddard Stark;Ned;
Stark;Hodor;;
Stark;Jeyne Westerling;;
Stark;Jory Cassel;;
Stark;Lyanna Stark;;
Stark;Rickon Stark;;
Stark;Rob Stark;YoungWolf;
Stark;Sansa Stark;Alayne;
Targaryen;Aegon Targaryen;Griff;
Targaryen;Aemon Targaryen;;
Targaryen;Aerys II Targaryen;TheMadKing;
Targaryen;Daenerys Targaryen;Dany,MotherofDragons,DragonQueen;
Targaryen;Rhaegar Targaryen;SilverPrince,DragonPrince,LastDragon;
Targaryen;Viserys;BeggarKing,CartKing;
Tarly;Randyll Tarly;;
Tarth;Brienne Tarth;;
Tully;Brynden Tully;Blackfish;
Tully;Edmure Tully;;
Tully;Hoster Tully;;
Tully;Lysa Tully;;
Tully;Roslin Frey;;
Tyrell;Loras Tyrell;KnightofFlowers;;
Tyrell;Mace Tyrell;
Tyrell;Margaery Tyrell;;
Tyrell;Willas Tyrell;;
Wildling;Alfyn;Crowkiller;
Wildling;Mance Rayder;;
Wildling;Styr;Magnar;
Wildling;Tormund Giantsbane;;
